Statistical profiling result from isolate-0x102800000-v8.log, (6258 ticks, 93 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.1%    0.1%  LazyCompile: ~visitEachNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6721:27
      7    0.1%    0.1%  LazyCompile: ~objectTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18085:41
      7    0.1%    0.1%  LazyCompile: ~isAssignmentTarget /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5436:32
      7    0.1%    0.1%  LazyCompile: ~checkNestedBlockScopedBinding /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19691:47
      7    0.1%    0.1%  LazyCompile: *updateLastEncodedAndRecordedSpans /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27452:51
      7    0.1%    0.1%  LazyCompile: *parseAssignmentExpressionOrHigher /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8592:51
      7    0.1%    0.1%  LazyCompile: *hasOwnProperty native v8natives.js:111:30
      7    0.1%    0.1%  LazyCompile: *getTypeFromTypeReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17018:42
      7    0.1%    0.1%  LazyCompile: *getFlowTypeOfReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19301:40
      7    0.1%    0.1%  LazyCompile: *createNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7430:28
      7    0.1%    0.1%  LazyCompile: *checkVariableLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23944:46
      7    0.1%    0.1%  LazyCompile: *checkPropertyAccessExpressionOrQualifiedName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:20923:62
      7    0.1%    0.1%  LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
      7    0.1%    0.1%  LazyCompile: *bindReachableStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11871:40
      7    0.1%    0.1%  LazyCompile: *ToString native runtime.js:453:18
      6    0.1%    0.1%  Stub: ToBooleanStub
      6    0.1%    0.1%  Stub: RecordWriteStub {4}
      6    0.1%    0.1%  Stub: GrowArrayElementsStub
      6    0.1%    0.1%  LazyCompile: ~getTypeOfSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15684:33
      6    0.1%    0.1%  LazyCompile: ~getNamedMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14280:33
      6    0.1%    0.1%  LazyCompile: ~forEachMatchingParameterType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18765:46
      6    0.1%    0.1%  LazyCompile: ~compareSignaturesRelated /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17673:42
      6    0.1%    0.1%  LazyCompile: ~checkGrammarModifiers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:26426:39
      6    0.1%    0.1%  LazyCompile: *resolveCallExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21661:39
      6    0.1%    0.1%  LazyCompile: *isExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5102:26
      6    0.1%    0.1%  LazyCompile: *hasProperty /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:1020:25
      6    0.1%    0.1%  LazyCompile: *getTypeAtFlowNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19313:39
      6    0.1%    0.1%  LazyCompile: *getSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13588:27
      6    0.1%    0.1%  LazyCompile: *getStartPos /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:3288:35
      6    0.1%    0.1%  LazyCompile: *getColumn /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6023:33
      6    0.1%    0.1%  Handler: An IC handler from the snapshot {9}
      6    0.1%    0.1%  Handler: An IC handler from the snapshot {17}
      5    0.1%    0.1%  LazyCompile: ~propertiesRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18157:41
      5    0.1%    0.1%  LazyCompile: COMPARE native runtime.js:73:17
      5    0.1%    0.1%  LazyCompile: *speculationHelper /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7341:35
      5    0.1%    0.1%  LazyCompile: *parseModifiers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:10214:32
      5    0.1%    0.1%  LazyCompile: *isStartOfLeftHandSideExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8511:49
      5    0.1%    0.1%  LazyCompile: *isStartOfExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8536:37
      5    0.1%    0.1%  LazyCompile: *indentIfOnDifferentLines /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:30719:46
      5    0.1%    0.1%  LazyCompile: *getIdentifierToken /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:3597:36
      5    0.1%    0.1%  LazyCompile: *getContainerFlags /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12398:35
      5    0.1%    0.1%  LazyCompile: *getApparentType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16426:33
      5    0.1%    0.1%  LazyCompile: *emitStart /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27539:27
      5    0.1%    0.1%  LazyCompile: *emitJavaScriptWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:34962:42
      5    0.1%    0.1%  LazyCompile: *compareSignaturesRelated /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17673:42
