Statistical profiling result from isolate-0x102800000-v8.log, (6258 ticks, 93 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~checkGrammarArrowFunction /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:26729:43
      1    0.0%    0.0%  LazyCompile: ~checkFunctionExpressionOrObjectLiteralMethodDeferred /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22147:70
      1    0.0%    0.0%  LazyCompile: ~checkForStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24054:35
      1    0.0%    0.0%  LazyCompile: ~checkForOfStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24074:37
      1    0.0%    0.0%  LazyCompile: ~checkExpressionWithContextualType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22698:51
      1    0.0%    0.0%  LazyCompile: ~checkExpressionStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24031:42
      1    0.0%    0.0%  LazyCompile: ~checkExportsOnMergedDeclarations /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23434:50
      1    0.0%    0.0%  LazyCompile: ~checkDecorators /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23688:33
      1    0.0%    0.0%  LazyCompile: ~checkCollisionWithGlobalPromiseInGeneratedCode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23852:64
      1    0.0%    0.0%  LazyCompile: ~checkCallExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21848:37
      1    0.0%    0.0%  LazyCompile: ~checkAssignmentOperator /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22621:45
      1    0.0%    0.0%  LazyCompile: ~checkArrayType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23238:32
      1    0.0%    0.0%  LazyCompile: ~checkArrayLiteral /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:20355:35
      1    0.0%    0.0%  LazyCompile: ~checkAndAggregateReturnExpressionTypes /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22049:56
      1    0.0%    0.0%  LazyCompile: ~checkAllCodePathsInNonVoidFunctionReturnOrThrow /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22074:65
      1    0.0%    0.0%  LazyCompile: ~charCodeAt native string.js:57:28
      1    0.0%    0.0%  LazyCompile: ~bindVariableDeclarationOrBindingElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13039:57
      1    0.0%    0.0%  LazyCompile: ~bindForInOrForOfStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12132:43
      1    0.0%    0.0%  LazyCompile: ~bindChildren /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11787:30
      1    0.0%    0.0%  LazyCompile: ~bindCaseBlock /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12231:31
      1    0.0%    0.0%  LazyCompile: ~bindAnonymousDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12583:42
      1    0.0%    0.0%  LazyCompile: ~binarySearch /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:955:26
      1    0.0%    0.0%  LazyCompile: ~addJSDocComment /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7183:33
      1    0.0%    0.0%  LazyCompile: ~_makeLong path.js:1360:32
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:30827:54
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:26322:56
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23739:86
      1    0.0%    0.0%  LazyCompile: ADD native runtime.js:110:13
      1    0.0%    0.0%  LazyCompile: *traverse /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4774:26
      1    0.0%    0.0%  LazyCompile: *speculationHelper /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4152:35
      1    0.0%    0.0%  LazyCompile: *signatureRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18294:40
      1    0.0%    0.0%  LazyCompile: *shouldEmitAsArrowFunction /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:32476:47
      1    0.0%    0.0%  LazyCompile: *resolveName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13670:29
      1    0.0%    0.0%  LazyCompile: *reScanGreaterToken /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:3986:36
      1    0.0%    0.0%  LazyCompile: *propertiesRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18157:41
      1    0.0%    0.0%  LazyCompile: *parseVariableDeclarationList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:10035:46
      1    0.0%    0.0%  LazyCompile: *parseVariableDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:10026:42
      1    0.0%    0.0%  LazyCompile: *parseUnionTypeOrHigher /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8433:40
      1    0.0%    0.0%  LazyCompile: *parseTypeWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8499:33
      1    0.0%    0.0%  LazyCompile: *parseTypeReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8064:36
      1    0.0%    0.0%  LazyCompile: *parseTypeMemberSemicolon /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8177:42
      1    0.0%    0.0%  LazyCompile: *parsePropertyName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7496:35
      1    0.0%    0.0%  LazyCompile: *parseParameterType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8109:36
      1    0.0%    0.0%  LazyCompile: *parseOptionalToken /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7398:36
      1    0.0%    0.0%  LazyCompile: *parseObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8306:40
      1    0.0%    0.0%  LazyCompile: *parseObjectLiteralElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9430:43
      1    0.0%    0.0%  LazyCompile: *parseInitializer /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8583:34
      1    0.0%    0.0%  LazyCompile: *parseIfStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9546:34
      1    0.0%    0.0%  LazyCompile: *parseFunctionBlock /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9524:36
      1    0.0%    0.0%  LazyCompile: *parseDecorators /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:10194:33
      1    0.0%    0.0%  LazyCompile: *parseCaseOrDefaultClause /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9663:42
      1    0.0%    0.0%  LazyCompile: *parseBinaryExpressionOrHigher /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8820:47
      1    0.0%    0.0%  LazyCompile: *parseArgumentList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9305:35
      1    0.0%    0.0%  LazyCompile: *parseArgumentExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9408:41
      1    0.0%    0.0%  LazyCompile: *nodeStartsNewLexicalEnvironment /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5779:45
      1    0.0%    0.0%  LazyCompile: *nodeEndIsOnSameLineAsNodeStart /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:31839:52
      1    0.0%    0.0%  LazyCompile: *nextTokenIsIdentifierOrStartOfDestructuring /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9842:61
      1    0.0%    0.0%  LazyCompile: *lookAhead /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4193:27
      1    0.0%    0.0%  LazyCompile: *isTypeAny /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15305:27
      1    0.0%    0.0%  LazyCompile: *isStartOfType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8377:31
      1    0.0%    0.0%  LazyCompile: *isReadonlySymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22182:34
      1    0.0%    0.0%  LazyCompile: *isNarrowableReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11933:39
      1    0.0%    0.0%  LazyCompile: *isModifierKind /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5749:28
      1    0.0%    0.0%  LazyCompile: *isLeftHandSideExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6358:38
      1    0.0%    0.0%  LazyCompile: *isFunctionLike /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4855:28
      1    0.0%    0.0%  LazyCompile: *isDynamicName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5714:27
      1    0.0%    0.0%  LazyCompile: *isDeclarationWithCollidingName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:26052:48
      1    0.0%    0.0%  LazyCompile: *isDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9741:31
      1    0.0%    0.0%  LazyCompile: *isConflictMarkerTrivia /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:3114:36
      1    0.0%    0.0%  LazyCompile: *hasPrecedingLineBreak /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:3295:45
      1    0.0%    0.0%  LazyCompile: *hasMatchingArgument /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19109:37
      1    0.0%    0.0%  LazyCompile: *hasDeclaredRestParameter /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5399:38
      1    0.0%    0.0%  LazyCompile: *hasCorrectArity /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21182:33
      1    0.0%    0.0%  LazyCompile: *getWidenedType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18669:32
      1    0.0%    0.0%  LazyCompile: *getTypeFromClassOrInterfaceReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16942:54
      1    0.0%    0.0%  LazyCompile: *getTypeForVariableLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15412:51
      1    0.0%    0.0%  LazyCompile: *getTypeFacts /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19152:30
      1    0.0%    0.0%  LazyCompile: *getTypeAtPosition /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21903:35
      1    0.0%    0.0%  LazyCompile: *getSignaturesOfStructuredType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16525:47
      1    0.0%    0.0%  LazyCompile: *getSignatureReturnTypeFromDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16700:55
      1    0.0%    0.0%  LazyCompile: *getReturnTypeFromBody /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21959:39
      1    0.0%    0.0%  LazyCompile: *getRegularTypeOfObjectLiteral /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18626:47
      1    0.0%    0.0%  LazyCompile: *getReferencedImportDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:26019:48
      1    0.0%    0.0%  LazyCompile: *getReferencedDeclarationWithCollidingName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:26048:59
      1    0.0%    0.0%  LazyCompile: *getIndexTypeOfType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16548:36
      1    0.0%    0.0%  LazyCompile: *getExportSymbolOfValueSymbolIfExported /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14232:56
      1    0.0%    0.0%  LazyCompile: *getDeclaredTypeOfClassOrInterface /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15925:51
      1    0.0%    0.0%  LazyCompile: *getCombinedNodeFlags /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4644:34
      1    0.0%    0.0%  LazyCompile: *getBinaryOperatorPrecedence /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8861:45
      1    0.0%    0.0%  LazyCompile: *forEachMatchingParameterType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18765:46
      1    0.0%    0.0%  LazyCompile: *emitNodeWithCommentsAndWithoutSourcemap /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:34886:61
      1    0.0%    0.0%  LazyCompile: *emitModuleMemberName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:31920:42
      1    0.0%    0.0%  LazyCompile: *emitList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:29704:30
      1    0.0%    0.0%  LazyCompile: *emitLinesStartingAt /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:29741:41
      1    0.0%    0.0%  LazyCompile: *emitIndexedAccess /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:30811:39
      1    0.0%    0.0%  LazyCompile: *emitExpressionStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:31230:45
      1    0.0%    0.0%  LazyCompile: *emitExportMemberAssignment /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:31959:48
      1    0.0%    0.0%  LazyCompile: *emitEmbeddedStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:31218:43
      1    0.0%    0.0%  LazyCompile: *emitCallExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:30904:40
      1    0.0%    0.0%  LazyCompile: *emitBlock /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:31197:31
      1    0.0%    0.0%  LazyCompile: *emit /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:34883:26
      1    0.0%    0.0%  LazyCompile: *currentNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7741:29
      1    0.0%    0.0%  LazyCompile: *createType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14258:28
      1    0.0%    0.0%  LazyCompile: *createSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16164:33
      1    0.0%    0.0%  LazyCompile: *createFlowCondition /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11998:37
      1    0.0%    0.0%  LazyCompile: *containsMatchingReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19097:43
      1    0.0%    0.0%  LazyCompile: *contains /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:836:22
      1    0.0%    0.0%  LazyCompile: *computeLineAndCharacterOfPosition /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:2975:47
      1    0.0%    0.0%  LazyCompile: *checkVariableStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24015:40
      1    0.0%    0.0%  LazyCompile: *checkUnionOrIntersectionType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23248:46
      1    0.0%    0.0%  LazyCompile: *checkTypeReferenceNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23215:40
      1    0.0%    0.0%  LazyCompile: *checkTypeParameters /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24494:37
      1    0.0%    0.0%  LazyCompile: *checkResolvedBlockScopedVariable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13862:50
      1    0.0%    0.0%  LazyCompile: *checkPrefixUnaryExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22265:44
      1    0.0%    0.0%  LazyCompile: *checkParameter /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22858:32
      1    0.0%    0.0%  LazyCompile: *checkGrammarVariableDeclarationList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27192:53
      1    0.0%    0.0%  LazyCompile: *checkGrammarVariableDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27156:49
      1    0.0%    0.0%  LazyCompile: *checkGrammarStatementInAmbientContext /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27313:55
      1    0.0%    0.0%  LazyCompile: *checkGrammarNameInLetOrConstDeclarations /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27176:58
      1    0.0%    0.0%  LazyCompile: *checkGrammarForNonSymbolComputedProperty /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27062:58
      1    0.0%    0.0%  LazyCompile: *checkExpressionStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24031:42
      1    0.0%    0.0%  LazyCompile: *checkDecorators /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23688:33
      1    0.0%    0.0%  LazyCompile: *checkCollisionWithCapturedSuperVariable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23822:57
      1    0.0%    0.0%  LazyCompile: *checkAllCodePathsInNonVoidFunctionReturnOrThrow /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22074:65
      1    0.0%    0.0%  LazyCompile: *charCodeAt native string.js:57:28
      1    0.0%    0.0%  LazyCompile: *bindPropertyOrMethodOrAccessor /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13101:48
      1    0.0%    0.0%  LazyCompile: *bindCondition /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12072:31
      1    0.0%    0.0%  LazyCompile: *base64VLQFormatEncode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27594:35
      1    0.0%    0.0%  LazyCompile: *_loop_1 /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:26898:35
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24769:69
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24341:57
      1    0.0%    0.0%  KeyedStorePolymorphicIC: args_count: 0 {1}
      1    0.0%    0.0%  Handler: target {1}
      1    0.0%    0.0%  Handler: target
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash b417e63) {2}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash b417e63) {1}
      1    0.0%    0.0%  Handler: resolvedType
      1    0.0%    0.0%  Handler: push
      1    0.0%    0.0%  Handler: properties
      1    0.0%    0.0%  Handler: parameters
      1    0.0%    0.0%  Handler: nextContainer {1}
      1    0.0%    0.0%  Handler: nextContainer
      1    0.0%    0.0%  Handler: name
      1    0.0%    0.0%  Handler: mapper {3}
      1    0.0%    0.0%  Handler: mapper {1}
      1    0.0%    0.0%  Handler: id {9}
      1    0.0%    0.0%  Handler: id {7}
      1    0.0%    0.0%  Handler: id {4}
      1    0.0%    0.0%  Handler: id {2}
      1    0.0%    0.0%  Handler: id
      1    0.0%    0.0%  Handler: expression
      1    0.0%    0.0%  Handler: declaredCallSignatures
      1    0.0%    0.0%  Handler: contextualType
      1    0.0%    0.0%  Handler: charCodeAt {1}
      1    0.0%    0.0%  Handler: charCodeAt
      1    0.0%    0.0%  Handler: callSignatures {3}
      1    0.0%    0.0%  Handler: callSignatures {2}
      1    0.0%    0.0%  Handler: callSignatures {1}
      1    0.0%    0.0%  Handler: callSignatures
      1    0.0%    0.0%  Handler: String
      1    0.0%    0.0%  Handler: Math
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {5}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {2}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {22}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {19}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {18}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {14}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {12}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {11}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {10}
      1    0.0%    0.0%  Builtin: InterruptCheck
      1    0.0%    0.0%  Builtin: InOptimizationQueue

 [C++]:
   ticks  total  nonlib   name
    138    2.2%    2.4%  v8::internal::StubCache::Initialize()
    104    1.7%    1.8%  v8::internal::Context::RemoveOptimizedFunction(v8::internal::JSFunction*)
    101    1.6%    1.8%  _malloc_jumpstart
     98    1.6%    1.7%  void node::Wrap<node::ContextifyContext>(v8::Local<v8::Object>, node::ContextifyContext*)
     80    1.3%    1.4%  v8::internal::PagedSpace::AllocateRawUnaligned(int)
     54    0.9%    1.0%  v8::internal::IncrementalMarking::UpdateMarkingDequeAfterScavenge()
     42    0.7%    0.7%  v8::internal::Deoptimizer::VisitAllOptimizedFunctionsForContext(v8::internal::Context*, v8::internal::OptimizedFunctionVisitor*)
     37    0.6%    0.7%  _create_scalable_zone
     36    0.6%    0.6%  v8::internal::LookupIterator::LookupIterator(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
     36    0.6%    0.6%  node::InitFs(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Context>, void*)
     35    0.6%    0.6%  v8::internal::NameDictionaryBase<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::FindEntry(v8::internal::Handle<v8::internal::Name>)
     35    0.6%    0.6%  __platform_memmove
     34    0.5%    0.6%  v8::internal::Scanner::Scan()
     34    0.5%    0.6%  __platform_memccpy
     33    0.5%    0.6%  v8::internal::FlexibleBodyVisitor<v8::internal::IncrementalMarkingMarkingVisitor, v8::internal::JSObject::BodyDescriptor, void>::Visit(v8::internal::Map*, v8::internal::HeapObject*)
     33    0.5%    0.6%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int, int, int*)
     32    0.5%    0.6%  v8::internal::LCodeGenBase::GenerateBody()
     30    0.5%    0.5%  v8::internal::String::CalculateLineEnds(v8::internal::Handle<v8::internal::String>, bool)
     30    0.5%    0.5%  v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object*)
     29    0.5%    0.5%  v8::internal::LGapResolver::BuildInitialMoveList(v8::internal::LParallelMove*)
     25    0.4%    0.4%  v8::internal::LCodeGenBase::DefineDeoptimizationLiteral(v8::internal::Handle<v8::internal::Object>)
     23    0.4%    0.4%  v8::internal::JSObjectWalkVisitor<v8::internal::AllocationSiteCreationContext>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
     23    0.4%    0.4%  int v8::internal::LinearSearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int, int*)
     23    0.4%    0.4%  ___initgroups
     22    0.4%    0.4%  v8::internal::RelocIterator::next()
     22    0.4%    0.4%  ___malloc_init
     21    0.3%    0.4%  v8::internal::LookupIterator::Next()
     21    0.3%    0.4%  v8::internal::LCodeGen::WriteTranslation(v8::internal::LEnvironment*, v8::internal::Translation*)
     20    0.3%    0.4%  v8::internal::StringTable::LookupString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
     20    0.3%    0.4%  v8::internal::Scanner::ScanIdentifierOrKeyword()
     20    0.3%    0.4%  v8::internal::IncrementalMarking::BlackToGreyAndUnshift(v8::internal::HeapObject*, v8::internal::MarkBit)
     19    0.3%    0.3%  v8::internal::Context::script_context()
     18    0.3%    0.3%  v8::internal::HEnvironment::HEnvironment(v8::internal::Zone*, int)
     17    0.3%    0.3%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
     17    0.3%    0.3%  v8::internal::Runtime_HasOwnProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     17    0.3%    0.3%  v8::internal::Runtime::GetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode)
     17    0.3%    0.3%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseBinaryExpression(int, bool, v8::internal::ExpressionClassifier*, bool*)
     17    0.3%    0.3%  v8::internal::IncrementalMarkingMarkingVisitor::VisitFixedArrayIncremental(v8::internal::Map*, v8::internal::HeapObject*)
     16    0.3%    0.3%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     16    0.3%    0.3%  _bitarray_zap_first_set
     15    0.2%    0.3%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseAssignmentExpression(bool, v8::internal::ExpressionClassifier*, bool*)
     15    0.2%    0.3%  v8::internal::AstValueFactory::GetOneByteStringInternal(v8::internal::Vector<unsigned char const>)
     14    0.2%    0.2%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
     14    0.2%    0.2%  v8::internal::LCodeGen::AddToTranslation(v8::internal::LEnvironment*, v8::internal::Translation*, v8::internal::LOperand*, bool, bool, int*, int*)
     14    0.2%    0.2%  v8::internal::JSObject::MigrateFastToFast(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>)
     14    0.2%    0.2%  v8::internal::JSObject::HasRealNamedProperty(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Name>)
     14    0.2%    0.2%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::PromoteObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)0, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
     13    0.2%    0.2%  v8::internal::TemplateHashMapImpl<v8::internal::FreeStoreAllocationPolicy>::LookupOrInsert(void*, unsigned int, v8::internal::FreeStoreAllocationPolicy)
     13    0.2%    0.2%  v8::internal::StoreBuffer::ClearFilteringHashSets()
     13    0.2%    0.2%  v8::internal::LChunk::MarkEmptyBlocks()
     13    0.2%    0.2%  v8::internal::JSObject::Freeze(v8::internal::Handle<v8::internal::JSObject>)
     13    0.2%    0.2%  v8::internal::HValue::GetInteger32Constant()
     12    0.2%    0.2%  v8::internal::WeakHashTable::Lookup(v8::internal::Handle<v8::internal::HeapObject>)
     12    0.2%    0.2%  v8::internal::PolymorphicCodeCacheHashTableKey::AsHandle(v8::internal::Isolate*)
     12    0.2%    0.2%  v8::internal::HBasicBlock::CreateSimulate(v8::internal::BailoutId, v8::internal::RemovableSimulate)
     12    0.2%    0.2%  v8::internal::Factory::NewAllocationSite()
     12    0.2%    0.2%  v8::internal::DependentCode::Insert(v8::internal::Handle<v8::internal::DependentCode>, v8::internal::DependentCode::DependencyGroup, v8::internal::Handle<v8::internal::Object>)
     12    0.2%    0.2%  ___cxa_demangle
     11    0.2%    0.2%  void v8::internal::Scanner::Advance<false, true>()
     11    0.2%    0.2%  v8::internal::JSReceiver::GetPropertyAttributes(v8::internal::LookupIterator*)
     11    0.2%    0.2%  v8::internal::HGraphBuilder::FinishExitCurrentBlock(v8::internal::HControlInstruction*)
     11    0.2%    0.2%  v8::internal::HDematerializedObject::~HDematerializedObject()
     11    0.2%    0.2%  _malloc_create_zone
     10    0.2%    0.2%  v8::internal::Runtime_GetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
